subject,sex,age,condition,pity.target,envy.target,pityAD,pityC,envyAD,envyC
1,male,23,PityAD,5,7,2,NA,NA,NA
2,male,39,EnvyC,7,5,NA,NA,NA,3
3,male,25,PityC,6,7,NA,6,NA,NA
4,male,24,EnvyAD,7,7,NA,NA,5,NA
5,female,30,PityC,6,3,NA,3,NA,NA
6,female,22,Baseline,6,5,NA,NA,NA,NA
7,male,27,Baseline,4,6,NA,NA,NA,NA
8,female,26,EnvyAD,7,5,NA,NA,3,NA
9,female,38,EnvyC,5,7,NA,NA,NA,2
10,male,25,PityC,4,5,NA,3,NA,NA
11,male,31,PityAD,5,5,2,NA,NA,NA
12,male,31,EnvyC,3,6,NA,NA,NA,2
13,male,30,EnvyC,3,6,NA,NA,NA,6
14,male,24,PityC,5,5,NA,3,NA,NA
15,male,24,EnvyC,1,3,NA,NA,NA,3
16,female,33,EnvyAD,7,5,NA,NA,3,NA
17,male,36,PityAD,5,7,6,NA,NA,NA
18,male,26,Baseline,3,7,NA,NA,NA,NA
19,female,33,Baseline,5,6,NA,NA,NA,NA
20,male,20,Baseline,5,6,NA,NA,NA,NA
21,female,57,PityAD,6,4,3,NA,NA,NA
22,male,38,PityC,1,7,NA,1,NA,NA
23,male,31,PityAD,7,6,5,NA,NA,NA
24,male,41,EnvyAD,6,3,NA,NA,3,NA
25,male,41,EnvyC,5,6,NA,NA,NA,3
26,male,22,PityAD,7,5,7,NA,NA,NA
27,male,26,EnvyC,6,6,NA,NA,NA,5
28,male,57,PityAD,7,5,3,NA,NA,NA
29,male,28,EnvyAD,2,6,NA,NA,6,NA
30,male,24,PityC,5,5,NA,6,NA,NA
31,male,26,EnvyAD,7,6,NA,NA,6,NA
32,female,46,PityC,7,7,NA,1,NA,NA
33,female,30,PityC,6,7,NA,5,NA,NA
34,male,25,EnvyAD,5,6,NA,NA,7,NA
35,male,23,PityAD,7,5,3,NA,NA,NA
36,female,38,EnvyC,5,7,NA,NA,NA,3
37,male,61,EnvyAD,5,6,NA,NA,5,NA
38,male,61,Baseline,7,6,NA,NA,NA,NA
39,female,25,Baseline,3,6,NA,NA,NA,NA
40,female,20,Baseline,7,6,NA,NA,NA,NA
41,male,23,PityC,6,6,NA,2,NA,NA
42,male,21,PityC,6,3,NA,2,NA,NA
43,female,28,EnvyC,3,7,NA,NA,NA,2
44,male,56,EnvyAD,2,6,NA,NA,7,NA
45,male,34,PityAD,5,3,4,NA,NA,NA
46,female,43,PityC,5,4,NA,7,NA,NA
47,female,21,PityAD,5,6,5,NA,NA,NA
48,male,28,EnvyAD,6,6,NA,NA,5,NA
49,female,24,Baseline,6,6,NA,NA,NA,NA
50,female,36,EnvyAD,5,7,NA,NA,6,NA
51,male,42,Baseline,5,6,NA,NA,NA,NA
52,male,61,EnvyAD,3,6,NA,NA,4,NA
53,female,27,EnvyC,5,7,NA,NA,NA,5
54,male,40,PityAD,4,5,2,NA,NA,NA
55,male,30,PityC,5,7,NA,4,NA,NA
56,female,25,EnvyC,6,5,NA,NA,NA,3
57,male,39,PityC,5,7,NA,1,NA,NA
58,female,40,EnvyAD,6,7,NA,NA,5,NA
59,male,46,PityAD,3,5,3,NA,NA,NA
60,female,28,PityAD,6,6,5,NA,NA,NA
61,male,65,EnvyC,5,6,NA,NA,NA,6
62,female,19,EnvyAD,4,6,NA,NA,4,NA
63,male,29,PityAD,4,6,3,NA,NA,NA
64,male,36,Baseline,7,6,NA,NA,NA,NA
65,female,34,PityC,6,5,NA,3,NA,NA
66,female,50,Baseline,5,6,NA,NA,NA,NA
67,female,30,PityC,6,6,NA,5,NA,NA
68,female,29,Baseline,5,7,NA,NA,NA,NA
69,male,33,PityAD,7,5,5,NA,NA,NA
70,female,37,EnvyC,5,5,NA,NA,NA,4
71,female,38,EnvyC,5,7,NA,NA,NA,3
72,male,29,Baseline,6,3,NA,NA,NA,NA
73,male,30,Baseline,3,7,NA,NA,NA,NA
74,male,33,PityAD,6,7,3,NA,NA,NA
75,female,43,PityC,6,7,NA,5,NA,NA
76,female,33,EnvyAD,5,6,NA,NA,4,NA
77,female,26,PityAD,5,5,5,NA,NA,NA
78,male,33,EnvyAD,5,5,NA,NA,5,NA
79,female,48,EnvyC,6,6,NA,NA,NA,6
80,female,28,PityC,5,6,NA,2,NA,NA
81,female,42,EnvyC,6,7,NA,NA,NA,2
82,male,36,EnvyAD,5,4,NA,NA,3,NA
83,male,48,EnvyAD,5,5,NA,NA,5,NA
84,female,36,EnvyAD,5,7,NA,NA,7,NA
85,male,32,PityC,5,7,NA,2,NA,NA
86,female,58,Baseline,5,6,NA,NA,NA,NA
87,male,26,PityAD,5,6,5,NA,NA,NA
88,male,29,PityAD,6,5,5,NA,NA,NA
89,female,31,PityC,7,5,NA,3,NA,NA
90,female,30,EnvyC,6,5,NA,NA,NA,2
91,male,30,Baseline,6,6,NA,NA,NA,NA
92,female,25,PityC,4,6,NA,2,NA,NA
93,female,30,Baseline,6,5,NA,NA,NA,NA
94,female,26,EnvyAD,5,6,NA,NA,5,NA
95,female,28,EnvyC,7,7,NA,NA,NA,3
96,male,22,EnvyAD,4,6,NA,NA,4,NA
97,female,57,EnvyC,4,5,NA,NA,NA,2
98,female,25,Baseline,6,6,NA,NA,NA,NA
99,male,25,PityAD,4,5,3,NA,NA,NA
100,male,31,PityAD,5,7,3,NA,NA,NA
101,female,21,PityC,6,5,NA,2,NA,NA
102,female,52,PityC,4,5,NA,1,NA,NA
103,female,33,Baseline,5,7,NA,NA,NA,NA
104,male,31,EnvyAD,4,5,NA,NA,4,NA
105,female,52,EnvyAD,6,5,NA,NA,3,NA
106,female,22,PityAD,7,5,4,NA,NA,NA
107,female,44,Baseline,4,5,NA,NA,NA,NA
108,female,35,EnvyC,3,7,NA,NA,NA,3
109,male,32,PityC,5,7,NA,1,NA,NA
110,male,32,PityAD,3,5,2,NA,NA,NA
111,female,38,EnvyAD,6,5,NA,NA,3,NA
112,male,37,PityAD,2,5,2,NA,NA,NA
113,male,21,EnvyC,5,6,NA,NA,NA,4
114,female,50,EnvyC,7,5,NA,NA,NA,3
115,female,24,Baseline,6,7,NA,NA,NA,NA
116,female,37,Baseline,7,7,NA,NA,NA,NA
117,male,33,PityAD,6,6,6,NA,NA,NA
118,female,24,PityC,7,6,NA,7,NA,NA
119,female,60,EnvyC,3,6,NA,NA,NA,3
120,female,26,PityC,7,5,NA,2,NA,NA
121,male,40,Baseline,6,6,NA,NA,NA,NA
122,male,24,EnvyC,5,6,NA,NA,NA,3
123,female,26,EnvyAD,4,7,NA,NA,6,NA
124,male,33,EnvyAD,7,4,NA,NA,3,NA
125,male,33,PityC,5,6,NA,3,NA,NA
126,male,29,PityAD,6,6,6,NA,NA,NA
127,female,22,Baseline,5,6,NA,NA,NA,NA
128,female,57,EnvyAD,7,7,NA,NA,6,NA
129,male,37,PityC,6,4,NA,3,NA,NA
130,male,25,PityAD,4,7,3,NA,NA,NA
131,female,23,PityC,5,7,NA,3,NA,NA
132,female,25,EnvyAD,7,7,NA,NA,7,NA
133,female,25,PityAD,7,5,6,NA,NA,NA
134,female,43,Baseline,3,6,NA,NA,NA,NA
135,female,34,EnvyAD,6,7,NA,NA,2,NA
136,female,43,EnvyC,7,2,NA,NA,NA,1
137,female,51,EnvyC,6,6,NA,NA,NA,5
138,female,22,EnvyC,5,7,NA,NA,NA,1
139,female,20,PityC,5,7,NA,2,NA,NA
140,female,31,Baseline,6,5,NA,NA,NA,NA
141,male,33,PityAD,4,6,3,NA,NA,NA
142,female,48,Baseline,3,6,NA,NA,NA,NA
143,male,39,EnvyAD,6,5,NA,NA,3,NA
144,female,36,PityAD,7,7,7,NA,NA,NA
145,female,39,EnvyC,6,6,NA,NA,NA,6
146,female,34,PityC,5,7,NA,5,NA,NA
147,male,40,Baseline,7,7,NA,NA,NA,NA
148,male,31,EnvyC,6,4,NA,NA,NA,3
149,female,35,PityAD,5,7,3,NA,NA,NA
150,male,37,EnvyAD,6,3,NA,NA,2,NA
151,male,18,EnvyAD,3,6,NA,NA,2,NA
152,male,23,PityAD,7,5,5,NA,NA,NA
153,female,27,Baseline,5,5,NA,NA,NA,NA
154,male,22,PityC,5,7,NA,1,NA,NA
155,female,26,EnvyC,5,7,NA,NA,NA,1
156,female,35,PityC,7,5,NA,2,NA,NA
157,female,54,PityC,6,5,NA,4,NA,NA
158,female,50,PityAD,6,5,3,NA,NA,NA
159,female,40,EnvyAD,3,6,NA,NA,3,NA
160,male,33,PityAD,7,3,3,NA,NA,NA
161,female,26,Baseline,3,7,NA,NA,NA,NA
162,female,25,EnvyC,2,7,NA,NA,NA,5
163,female,49,Baseline,2,6,NA,NA,NA,NA
164,female,24,PityC,7,3,NA,3,NA,NA
165,female,33,EnvyAD,6,4,NA,NA,3,NA
166,female,27,EnvyC,6,4,NA,NA,NA,2
167,female,32,EnvyAD,6,7,NA,NA,5,NA
168,female,35,Baseline,6,6,NA,NA,NA,NA
169,male,27,PityAD,5,3,5,NA,NA,NA
170,male,22,PityAD,6,5,5,NA,NA,NA
171,male,37,EnvyC,3,5,NA,NA,NA,6
172,female,27,EnvyAD,7,6,NA,NA,5,NA
173,male,42,EnvyC,5,5,NA,NA,NA,5
174,male,27,EnvyC,7,7,NA,NA,NA,3
175,male,32,PityC,6,4,NA,5,NA,NA
176,male,19,PityC,5,6,NA,1,NA,NA
177,male,50,Baseline,3,5,NA,NA,NA,NA
178,female,36,PityC,7,6,NA,4,NA,NA
179,female,31,Baseline,6,6,NA,NA,NA,NA
180,female,34,EnvyAD,4,6,NA,NA,2,NA
181,female,27,EnvyAD,6,7,NA,NA,6,NA
182,male,24,PityAD,5,7,2,NA,NA,NA
183,female,30,Baseline,5,2,NA,NA,NA,NA
184,male,23,EnvyC,2,4,NA,NA,NA,2
185,female,32,PityAD,7,7,3,NA,NA,NA
186,female,26,PityC,5,6,NA,2,NA,NA
187,male,34,PityC,6,4,NA,5,NA,NA
188,female,34,EnvyAD,6,6,NA,NA,7,NA
189,male,32,EnvyC,7,4,NA,NA,NA,1
190,male,24,Baseline,6,5,NA,NA,NA,NA
191,female,21,Baseline,6,4,NA,NA,NA,NA
192,female,24,EnvyC,7,1,NA,NA,NA,1
193,female,61,PityAD,2,7,2,NA,NA,NA
194,female,34,PityC,5,7,NA,2,NA,NA
195,male,67,PityAD,5,6,2,NA,NA,NA
196,female,29,EnvyAD,7,4,NA,NA,3,NA
197,female,32,PityC,6,7,NA,1,NA,NA
198,female,42,EnvyC,3,6,NA,NA,NA,3
199,male,21,EnvyAD,6,5,NA,NA,5,NA
200,male,47,Baseline,3,6,NA,NA,NA,NA
201,female,19,EnvyAD,6,5,NA,NA,7,NA
202,male,35,PityAD,6,4,5,NA,NA,NA
203,female,31,EnvyC,6,5,NA,NA,NA,2
204,male,24,PityC,6,6,NA,5,NA,NA
205,female,31,EnvyC,6,7,NA,NA,NA,3
206,male,44,EnvyAD,6,5,NA,NA,4,NA
207,female,28,PityAD,6,5,3,NA,NA,NA
208,female,19,PityC,5,4,NA,2,NA,NA
209,female,27,Baseline,5,7,NA,NA,NA,NA
210,male,43,PityAD,4,7,2,NA,NA,NA
211,female,29,Baseline,4,5,NA,NA,NA,NA
212,male,22,PityC,7,7,NA,2,NA,NA
213,male,28,PityAD,5,7,2,NA,NA,NA
214,male,48,EnvyC,5,4,NA,NA,NA,6
215,male,25,Baseline,5,6,NA,NA,NA,NA
216,female,23,Baseline,5,6,NA,NA,NA,NA
217,male,30,EnvyC,5,6,NA,NA,NA,2
218,female,22,EnvyAD,7,6,NA,NA,6,NA
219,male,35,PityAD,3,6,5,NA,NA,NA
220,male,30,PityC,7,6,NA,5,NA,NA
221,male,20,EnvyAD,3,6,NA,NA,5,NA
222,male,27,PityAD,5,6,2,NA,NA,NA
223,female,21,EnvyC,7,6,NA,NA,NA,3
224,female,32,Baseline,7,5,NA,NA,NA,NA
225,male,31,PityC,5,5,NA,2,NA,NA
226,female,35,EnvyAD,6,5,NA,NA,3,NA
227,female,38,Baseline,5,6,NA,NA,NA,NA
228,female,28,PityC,4,6,NA,2,NA,NA
229,female,45,PityAD,7,3,4,NA,NA,NA
230,female,43,EnvyC,6,7,NA,NA,NA,1
231,female,34,EnvyAD,6,7,NA,NA,6,NA
232,male,23,EnvyAD,7,7,NA,NA,6,NA
233,male,32,PityC,3,6,NA,3,NA,NA
234,female,55,EnvyC,6,5,NA,NA,NA,4
235,female,40,Baseline,6,2,NA,NA,NA,NA
236,male,53,EnvyAD,7,4,NA,NA,3,NA
237,female,26,PityAD,5,7,3,NA,NA,NA
238,female,52,EnvyC,5,6,NA,NA,NA,7
239,female,24,PityC,5,6,NA,6,NA,NA
240,female,26,Baseline,6,6,NA,NA,NA,NA
241,female,33,Baseline,4,5,NA,NA,NA,NA
242,female,43,PityAD,5,6,1,NA,NA,NA
243,male,25,PityAD,5,7,3,NA,NA,NA
244,female,22,EnvyAD,6,6,NA,NA,6,NA
245,female,51,EnvyC,2,7,NA,NA,NA,5
246,female,38,PityC,7,5,NA,1,NA,NA
247,female,29,PityC,5,5,NA,1,NA,NA
248,female,51,EnvyC,5,7,NA,NA,NA,1
249,female,27,Baseline,7,7,NA,NA,NA,NA
250,female,32,PityAD,6,7,6,NA,NA,NA
251,female,25,EnvyAD,4,7,NA,NA,6,NA
252,female,34,Baseline,5,7,NA,NA,NA,NA
253,male,24,PityC,6,6,NA,3,NA,NA
254,female,33,EnvyAD,6,6,NA,NA,3,NA
255,male,20,PityAD,4,6,2,NA,NA,NA
256,female,29,EnvyC,6,6,NA,NA,NA,3
257,female,48,Baseline,5,7,NA,NA,NA,NA
258,male,37,PityC,7,5,NA,2,NA,NA
259,female,39,EnvyC,6,7,NA,NA,NA,2
260,female,26,PityAD,6,5,2,NA,NA,NA
261,male,61,EnvyAD,5,7,NA,NA,5,NA
262,male,19,PityC,5,6,NA,1,NA,NA
263,male,21,EnvyAD,4,7,NA,NA,5,NA
264,female,53,EnvyC,5,6,NA,NA,NA,3
265,female,44,PityAD,5,6,5,NA,NA,NA
266,female,30,PityAD,6,7,5,NA,NA,NA
267,male,24,Baseline,6,6,NA,NA,NA,NA
268,female,20,PityC,6,6,NA,1,NA,NA
269,female,50,EnvyC,3,6,NA,NA,NA,1
270,male,34,EnvyAD,5,4,NA,NA,3,NA
271,male,33,PityC,6,7,NA,1,NA,NA
272,male,47,EnvyC,2,6,NA,NA,NA,3
273,female,21,Baseline,7,6,NA,NA,NA,NA
274,female,48,PityAD,7,3,5,NA,NA,NA
275,female,50,PityAD,6,5,7,NA,NA,NA
276,male,33,PityC,6,7,NA,2,NA,NA
277,female,72,EnvyAD,7,3,NA,NA,1,NA
278,male,33,Baseline,5,5,NA,NA,NA,NA
279,female,34,EnvyC,7,5,NA,NA,NA,7
280,male,24,EnvyC,6,6,NA,NA,NA,4
281,female,38,EnvyAD,6,5,NA,NA,5,NA
282,male,28,PityC,4,5,NA,1,NA,NA
283,male,20,Baseline,6,6,NA,NA,NA,NA
284,female,25,PityAD,6,6,7,NA,NA,NA
285,female,46,EnvyAD,7,7,NA,NA,7,NA
286,male,33,EnvyAD,4,7,NA,NA,2,NA
287,female,46,Baseline,5,7,NA,NA,NA,NA
288,female,33,PityC,6,3,NA,2,NA,NA
289,female,54,PityAD,5,6,3,NA,NA,NA
290,male,36,Baseline,5,6,NA,NA,NA,NA
291,female,26,EnvyAD,5,7,NA,NA,3,NA
292,male,37,EnvyC,4,6,NA,NA,NA,5
293,female,23,EnvyC,5,5,NA,NA,NA,3
294,male,31,PityC,5,6,NA,4,NA,NA
295,female,40,PityAD,6,3,5,NA,NA,NA
296,female,63,EnvyAD,4,6,NA,NA,6,NA
297,female,22,Baseline,3,5,NA,NA,NA,NA
298,female,41,Baseline,6,6,NA,NA,NA,NA
299,male,33,PityC,5,6,NA,3,NA,NA
300,male,53,PityAD,6,6,3,NA,NA,NA
301,female,34,EnvyC,5,7,NA,NA,NA,1
302,male,41,PityAD,6,7,4,NA,NA,NA
303,female,26,EnvyC,6,7,NA,NA,NA,5
304,male,24,EnvyAD,4,4,NA,NA,4,NA
305,female,23,PityC,7,7,NA,2,NA,NA
306,male,70,PityC,5,6,NA,5,NA,NA
307,male,19,EnvyC,5,7,NA,NA,NA,3
308,female,23,EnvyAD,7,6,NA,NA,5,NA
309,female,62,PityAD,5,5,4,NA,NA,NA
310,female,25,Baseline,5,7,NA,NA,NA,NA
311,prefer not to answer,25,Baseline,4,4,NA,NA,NA,NA
312,female,28,PityC,6,5,NA,2,NA,NA
313,female,43,EnvyAD,7,6,NA,NA,5,NA
314,female,29,EnvyC,5,6,NA,NA,NA,1
315,male,33,PityAD,6,5,5,NA,NA,NA
316,female,28,PityAD,6,5,4,NA,NA,NA
317,male,27,Baseline,6,7,NA,NA,NA,NA
318,female,38,EnvyAD,5,5,NA,NA,3,NA
319,female,25,PityC,7,6,NA,3,NA,NA
320,female,22,EnvyC,5,4,NA,NA,NA,2
321,male,25,EnvyC,6,5,NA,NA,NA,1
322,male,31,EnvyAD,5,6,NA,NA,4,NA
323,male,27,Baseline,5,6,NA,NA,NA,NA
324,male,32,PityAD,7,5,3,NA,NA,NA
325,female,31,Baseline,6,7,NA,NA,NA,NA
326,female,54,PityC,5,6,NA,4,NA,NA
327,male,27,EnvyAD,3,4,NA,NA,6,NA
328,female,26,EnvyC,5,7,NA,NA,NA,1
329,male,53,PityAD,5,3,7,NA,NA,NA
330,male,31,PityC,5,7,NA,1,NA,NA
331,male,42,EnvyC,5,6,NA,NA,NA,5
332,male,21,Baseline,7,5,NA,NA,NA,NA
333,female,23,PityC,5,6,NA,2,NA,NA
334,female,49,PityC,6,7,NA,4,NA,NA
335,male,65,EnvyAD,3,7,NA,NA,3,NA
336,male,21,PityAD,7,3,2,NA,NA,NA
337,female,35,PityAD,4,6,2,NA,NA,NA
338,male,30,EnvyC,5,7,NA,NA,NA,2
339,female,39,EnvyAD,6,5,NA,NA,5,NA
340,male,34,Baseline,5,7,NA,NA,NA,NA
341,male,62,PityC,7,5,NA,2,NA,NA
342,male,46,Baseline,1,7,NA,NA,NA,NA
343,female,30,EnvyAD,4,6,NA,NA,6,NA
344,female,39,EnvyC,6,6,NA,NA,NA,3
345,female,22,PityAD,7,3,6,NA,NA,NA
346,female,43,PityAD,6,5,6,NA,NA,NA
347,female,34,PityC,5,5,NA,2,NA,NA
348,female,37,EnvyAD,7,6,NA,NA,6,NA
349,female,27,Baseline,6,7,NA,NA,NA,NA
350,female,22,EnvyC,4,6,NA,NA,NA,2
351,female,22,Baseline,7,7,NA,NA,NA,NA
352,male,22,PityAD,4,5,4,NA,NA,NA
353,male,32,EnvyC,6,6,NA,NA,NA,5
354,male,31,PityC,6,5,NA,2,NA,NA
355,female,21,EnvyAD,3,7,NA,NA,5,NA
356,female,23,PityAD,6,6,5,NA,NA,NA
357,male,25,PityC,7,5,NA,3,NA,NA
358,female,23,Baseline,5,7,NA,NA,NA,NA
359,female,,EnvyC,5,6,NA,NA,NA,2
360,female,31,EnvyC,6,5,NA,NA,NA,3
361,male,20,EnvyAD,6,5,NA,NA,4,NA
362,male,27,EnvyAD,6,7,NA,NA,5,NA
363,female,55,Baseline,7,4,NA,NA,NA,NA
364,male,25,PityC,6,7,NA,5,NA,NA
365,female,25,PityAD,6,6,3,NA,NA,NA
366,female,65,EnvyC,6,7,NA,NA,NA,1
367,female,47,Baseline,2,7,NA,NA,NA,NA
368,female,26,PityAD,5,7,2,NA,NA,NA
369,female,52,EnvyAD,3,7,NA,NA,5,NA
370,female,50,PityC,4,7,NA,1,NA,NA
371,female,23,Baseline,6,7,NA,NA,NA,NA
372,female,68,EnvyAD,6,7,NA,NA,6,NA
373,male,41,PityC,6,3,NA,2,NA,NA
374,female,23,PityAD,7,5,5,NA,NA,NA
375,male,57,EnvyC,5,7,NA,NA,NA,5
376,female,23,PityC,7,5,NA,5,NA,NA
377,male,34,EnvyAD,3,7,NA,NA,6,NA
378,female,22,Baseline,4,6,NA,NA,NA,NA
379,female,27,PityAD,5,7,5,NA,NA,NA
380,female,56,EnvyC,7,6,NA,NA,NA,5
381,male,35,PityC,6,7,NA,3,NA,NA
382,female,55,Baseline,5,6,NA,NA,NA,NA
383,male,21,EnvyC,3,6,NA,NA,NA,3
384,female,47,EnvyAD,7,6,NA,NA,5,NA
385,male,33,PityAD,6,3,3,NA,NA,NA
386,male,22,PityAD,3,5,6,NA,NA,NA
387,female,41,PityC,7,6,NA,2,NA,NA
388,female,21,EnvyC,5,6,NA,NA,NA,3
389,male,30,EnvyAD,3,7,NA,NA,5,NA
390,female,34,Baseline,5,6,NA,NA,NA,NA
391,female,33,EnvyAD,5,6,NA,NA,6,NA
392,male,31,Baseline,6,5,NA,NA,NA,NA
393,female,38,EnvyC,6,5,NA,NA,NA,4
394,male,55,PityC,6,5,NA,2,NA,NA
395,female,31,PityAD,7,6,5,NA,NA,NA
396,female,26,EnvyAD,6,6,NA,NA,6,NA
397,male,29,EnvyC,7,6,NA,NA,NA,2
398,female,30,Baseline,6,7,NA,NA,NA,NA
399,male,23,PityAD,6,7,5,NA,NA,NA
400,female,30,PityC,6,5,NA,2,NA,NA
401,female,42,EnvyAD,5,7,NA,NA,6,NA
