subject,condition,target,rating
9944759,warmth-bias,pity.target,5
9944759,warmth-bias,envy.target,3
9943114,warmth-bias,envy.target,6
9943114,warmth-bias,pity.target,7
9937749,warmth-bias,pity.target,6
9937749,warmth-bias,envy.target,3
9932883,warmth-bias,pity.target,6
9932883,warmth-bias,envy.target,5
9927789,warmth-bias,pity.target,6
9927789,warmth-bias,envy.target,5
9927287,warmth-bias,envy.target,6
9927287,warmth-bias,pity.target,6
9921643,equal,envy.target,5
9921643,equal,pity.target,6
9909757,competence-bias,pity.target,6
9909757,competence-bias,envy.target,6
9905531,competence-bias,envy.target,6
9905531,competence-bias,pity.target,5
9899590,equal,envy.target,6
9899590,equal,pity.target,6
9893544,warmth-bias,pity.target,5
9893544,warmth-bias,envy.target,4
9892080,equal,envy.target,6
9892080,equal,pity.target,6
9890806,warmth-bias,envy.target,6
9890806,warmth-bias,pity.target,7
9880555,competence-bias,pity.target,4
9880555,competence-bias,envy.target,5
9876335,competence-bias,envy.target,6
9876335,competence-bias,pity.target,3
9872407,equal,pity.target,7
9872407,equal,envy.target,6
9871259,equal,envy.target,7
9871259,equal,pity.target,6
9868473,equal,pity.target,6
9868473,equal,envy.target,5
9854211,competence-bias,envy.target,7
9854211,competence-bias,pity.target,6
9852358,warmth-bias,pity.target,6
9852358,warmth-bias,envy.target,6
9849457,equal,pity.target,5
9849457,equal,envy.target,6
9838518,equal,pity.target,4
9838518,equal,envy.target,5
9834371,warmth-bias,pity.target,7
9834371,warmth-bias,envy.target,5
9833510,equal,pity.target,6
9833510,equal,envy.target,7
9830199,competence-bias,pity.target,4
9830199,competence-bias,envy.target,6
9829623,equal,envy.target,7
9829623,equal,pity.target,6
9826913,competence-bias,envy.target,6
9826913,competence-bias,pity.target,3
9818940,equal,envy.target,6
9818940,equal,pity.target,5
9809681,competence-bias,envy.target,6
9809681,competence-bias,pity.target,5
9804620,warmth-bias,envy.target,4
9804620,warmth-bias,pity.target,6
9802680,competence-bias,pity.target,3
9802680,competence-bias,envy.target,6
9794178,equal,envy.target,7
9794178,equal,pity.target,5
9794136,competence-bias,pity.target,3
9794136,competence-bias,envy.target,7
9777621,warmth-bias,pity.target,6
9777621,warmth-bias,envy.target,3
9775975,warmth-bias,pity.target,6
9775975,warmth-bias,envy.target,3
9774336,warmth-bias,pity.target,7
9774336,warmth-bias,envy.target,5
9770942,warmth-bias,envy.target,5
9770942,warmth-bias,pity.target,7
9764557,warmth-bias,pity.target,6
9764557,warmth-bias,envy.target,3
9759511,equal,envy.target,6
9759511,equal,pity.target,5
9755528,competence-bias,envy.target,6
9755528,competence-bias,pity.target,4
9749413,competence-bias,pity.target,4
9749413,competence-bias,envy.target,4
9746652,competence-bias,pity.target,5
9746652,competence-bias,envy.target,7
9737840,competence-bias,envy.target,3
9737840,competence-bias,pity.target,6
9719759,competence-bias,envy.target,7
9719759,competence-bias,pity.target,6
9718571,equal,envy.target,5
9718571,equal,pity.target,6
9717063,competence-bias,pity.target,4
9717063,competence-bias,envy.target,4
9700803,warmth-bias,envy.target,7
9700803,warmth-bias,pity.target,6
9684089,equal,pity.target,4
9684089,equal,envy.target,6
9681892,competence-bias,pity.target,4
9681892,competence-bias,envy.target,6
9670138,equal,pity.target,7
9670138,equal,envy.target,7
9666112,competence-bias,pity.target,5
9666112,competence-bias,envy.target,6
9662253,competence-bias,envy.target,7
9662253,competence-bias,pity.target,5
9647707,warmth-bias,pity.target,2
9647707,warmth-bias,envy.target,5
9639776,equal,pity.target,5
9639776,equal,envy.target,6
9635680,equal,envy.target,6
9635680,equal,pity.target,5
9631598,warmth-bias,pity.target,6
9631598,warmth-bias,envy.target,3
9615003,equal,pity.target,6
9615003,equal,envy.target,6
9613011,warmth-bias,envy.target,6
9613011,warmth-bias,pity.target,7
9609648,equal,envy.target,6
9609648,equal,pity.target,5
9605684,warmth-bias,pity.target,5
9605684,warmth-bias,envy.target,6
9588709,warmth-bias,envy.target,3
9588709,warmth-bias,pity.target,6
9584806,competence-bias,pity.target,6
9584806,competence-bias,envy.target,7
9577698,competence-bias,envy.target,6
9577698,competence-bias,pity.target,7
9576895,competence-bias,envy.target,7
9576895,competence-bias,pity.target,5
9576145,warmth-bias,envy.target,6
9576145,warmth-bias,pity.target,6
9565266,competence-bias,pity.target,6
9565266,competence-bias,envy.target,5
9539897,equal,envy.target,5
9539897,equal,pity.target,7
9539209,warmth-bias,envy.target,5
9539209,warmth-bias,pity.target,3
9520206,warmth-bias,pity.target,7
9520206,warmth-bias,envy.target,5
9515705,equal,pity.target,3
9515705,equal,envy.target,6
9514551,warmth-bias,envy.target,5
9514551,warmth-bias,pity.target,6
9498142,equal,pity.target,4
9498142,equal,envy.target,5
9494685,competence-bias,envy.target,6
9494685,competence-bias,pity.target,4
9484947,equal,envy.target,6
9484947,equal,pity.target,6
9483542,competence-bias,pity.target,7
9483542,competence-bias,envy.target,7
9477847,competence-bias,pity.target,4
9477847,competence-bias,envy.target,6
9474425,equal,pity.target,5
9474425,equal,envy.target,5
9470198,warmth-bias,envy.target,6
9470198,warmth-bias,pity.target,6
9454401,warmth-bias,pity.target,6
9454401,warmth-bias,envy.target,3
9444689,warmth-bias,pity.target,6
9444689,warmth-bias,envy.target,5
9435179,equal,envy.target,4
9435179,equal,pity.target,5
9429004,equal,envy.target,5
9429004,equal,pity.target,5
9414705,competence-bias,pity.target,7
9414705,competence-bias,envy.target,6
9411508,equal,pity.target,5
9411508,equal,envy.target,6
9409075,equal,envy.target,5
9409075,equal,pity.target,3
9404110,warmth-bias,envy.target,6
9404110,warmth-bias,pity.target,6
9399518,competence-bias,envy.target,4
9399518,competence-bias,pity.target,4
9389980,equal,envy.target,5
9389980,equal,pity.target,5
9380728,equal,pity.target,5
9380728,equal,envy.target,6
9366911,competence-bias,envy.target,7
9366911,competence-bias,pity.target,5
9366512,warmth-bias,envy.target,5
9366512,warmth-bias,pity.target,6
9360232,warmth-bias,pity.target,4
9360232,warmth-bias,envy.target,5
9358381,competence-bias,envy.target,7
9358381,competence-bias,pity.target,2
9349910,warmth-bias,envy.target,5
9349910,warmth-bias,pity.target,7
9347325,equal,pity.target,6
9347325,equal,envy.target,4
9342434,equal,pity.target,6
9342434,equal,envy.target,5
9331662,equal,pity.target,5
9331662,equal,envy.target,5
9317197,warmth-bias,pity.target,6
9317197,warmth-bias,envy.target,3
9308598,competence-bias,pity.target,5
9308598,competence-bias,envy.target,6
9305802,equal,pity.target,6
9305802,equal,envy.target,5
9299314,competence-bias,envy.target,7
9299314,competence-bias,pity.target,2
9295451,competence-bias,pity.target,5
9295451,competence-bias,envy.target,7
9284313,equal,pity.target,6
9284313,equal,envy.target,6
9278732,equal,envy.target,4
9278732,equal,pity.target,4
9263046,warmth-bias,envy.target,1
9263046,warmth-bias,pity.target,7
9259616,competence-bias,pity.target,6
9259616,competence-bias,envy.target,6
9256081,equal,envy.target,4
9256081,equal,pity.target,5
9253894,equal,pity.target,5
9253894,equal,envy.target,5
9228471,equal,pity.target,4
9228471,equal,envy.target,4
9212608,competence-bias,pity.target,3
9212608,competence-bias,envy.target,6
9211064,warmth-bias,pity.target,6
9211064,warmth-bias,envy.target,3
9206776,competence-bias,pity.target,3
9206776,competence-bias,envy.target,6
9189692,equal,envy.target,7
9189692,equal,pity.target,6
9182138,equal,pity.target,5
9182138,equal,envy.target,3
9181770,warmth-bias,pity.target,6
9181770,warmth-bias,envy.target,5
9176568,equal,pity.target,7
9176568,equal,envy.target,5
9151486,warmth-bias,pity.target,2
9151486,warmth-bias,envy.target,4
9151479,warmth-bias,pity.target,5
9151479,warmth-bias,envy.target,7
9150756,competence-bias,envy.target,7
9150756,competence-bias,pity.target,3
9135783,equal,pity.target,6
9135783,equal,envy.target,5
9129114,equal,envy.target,3
9129114,equal,pity.target,5
9121061,equal,envy.target,3
9121061,equal,pity.target,5
9110054,equal,envy.target,4
9110054,equal,pity.target,4
9108265,competence-bias,envy.target,6
9108265,competence-bias,pity.target,6
9106061,warmth-bias,envy.target,3
9106061,warmth-bias,pity.target,7
9100062,competence-bias,pity.target,5
9100062,competence-bias,envy.target,7
9092361,competence-bias,envy.target,4
9092361,competence-bias,pity.target,5
9083672,warmth-bias,envy.target,5
9083672,warmth-bias,pity.target,6
9079711,competence-bias,envy.target,6
9079711,competence-bias,pity.target,5
9078525,warmth-bias,envy.target,5
9078525,warmth-bias,pity.target,3
9072589,competence-bias,envy.target,7
9072589,competence-bias,pity.target,5
9064372,equal,envy.target,2
9064372,equal,pity.target,6
9055698,equal,envy.target,6
9055698,equal,pity.target,5
9040278,warmth-bias,pity.target,6
9040278,warmth-bias,envy.target,5
9033722,equal,pity.target,6
9033722,equal,envy.target,7
9024940,equal,envy.target,5
9024940,equal,pity.target,5
9018789,warmth-bias,pity.target,6
9018789,warmth-bias,envy.target,5
9017054,warmth-bias,envy.target,3
9017054,warmth-bias,pity.target,7
9015325,equal,pity.target,7
9015325,equal,envy.target,5
9010786,equal,pity.target,6
9010786,equal,envy.target,7
9000765,equal,pity.target,3
9000765,equal,envy.target,5
8983465,warmth-bias,envy.target,6
8983465,warmth-bias,pity.target,7
8977416,warmth-bias,pity.target,6
8977416,warmth-bias,envy.target,5
8966525,equal,envy.target,6
8966525,equal,pity.target,6
8964564,warmth-bias,pity.target,6
8964564,warmth-bias,envy.target,3
8960056,warmth-bias,pity.target,6
8960056,warmth-bias,envy.target,4
8959247,warmth-bias,envy.target,5
8959247,warmth-bias,pity.target,7
8955369,warmth-bias,envy.target,5
8955369,warmth-bias,pity.target,7
8954547,warmth-bias,pity.target,6
8954547,warmth-bias,envy.target,2
8946102,equal,envy.target,5
8946102,equal,pity.target,6
8941619,competence-bias,envy.target,7
8941619,competence-bias,pity.target,2
8940829,equal,pity.target,5
8940829,equal,envy.target,4
8935366,equal,pity.target,4
8935366,equal,envy.target,5
8925027,warmth-bias,pity.target,7
8925027,warmth-bias,envy.target,6
8922014,competence-bias,pity.target,5
8922014,competence-bias,envy.target,6
8910054,equal,pity.target,6
8910054,equal,envy.target,5
8888162,competence-bias,pity.target,5
8888162,competence-bias,envy.target,7
8880080,warmth-bias,pity.target,6
8880080,warmth-bias,envy.target,2
8872455,equal,envy.target,5
8872455,equal,pity.target,7
8868853,equal,envy.target,6
8868853,equal,pity.target,3
8867448,competence-bias,envy.target,7
8867448,competence-bias,pity.target,3
8858201,competence-bias,envy.target,7
8858201,competence-bias,pity.target,6
8853134,competence-bias,envy.target,6
8853134,competence-bias,pity.target,5
8832844,warmth-bias,envy.target,6
8832844,warmth-bias,pity.target,6
8832783,equal,envy.target,5
8832783,equal,pity.target,6
8828635,equal,envy.target,5
8828635,equal,pity.target,6
8824577,equal,pity.target,3
8824577,equal,envy.target,7
8818188,warmth-bias,envy.target,5
8818188,warmth-bias,pity.target,7
8815983,competence-bias,pity.target,3
8815983,competence-bias,envy.target,6
8815359,warmth-bias,pity.target,6
8815359,warmth-bias,envy.target,3
8803771,equal,pity.target,6
8803771,equal,envy.target,6
8803701,equal,envy.target,4
8803701,equal,pity.target,5
8802755,equal,pity.target,5
8802755,equal,envy.target,5
8789393,equal,pity.target,6
8789393,equal,envy.target,5
8762932,equal,pity.target,4
8762932,equal,envy.target,4
8759948,equal,envy.target,7
8759948,equal,pity.target,6
8744123,equal,pity.target,5
8744123,equal,envy.target,6
8740263,competence-bias,envy.target,6
8740263,competence-bias,pity.target,3
8729348,equal,envy.target,6
8729348,equal,pity.target,5
8729144,competence-bias,envy.target,6
8729144,competence-bias,pity.target,4
8718413,warmth-bias,pity.target,7
8718413,warmth-bias,envy.target,6
8715378,competence-bias,envy.target,5
8715378,competence-bias,pity.target,7
8714698,warmth-bias,envy.target,5
8714698,warmth-bias,pity.target,7
8714362,warmth-bias,envy.target,5
8714362,warmth-bias,pity.target,6
8708859,equal,pity.target,5
8708859,equal,envy.target,5
8695002,equal,envy.target,4
8695002,equal,pity.target,5
8688074,competence-bias,envy.target,7
8688074,competence-bias,pity.target,4
8685186,warmth-bias,pity.target,7
8685186,warmth-bias,envy.target,3
8682083,competence-bias,envy.target,6
8682083,competence-bias,pity.target,5
8674586,equal,pity.target,6
8674586,equal,envy.target,6
8670720,competence-bias,envy.target,5
8670720,competence-bias,pity.target,6
8644306,warmth-bias,envy.target,3
8644306,warmth-bias,pity.target,6
8643227,competence-bias,envy.target,7
8643227,competence-bias,pity.target,6
8641906,competence-bias,envy.target,6
8641906,competence-bias,pity.target,5
8638822,equal,pity.target,5
8638822,equal,envy.target,7
8638416,competence-bias,pity.target,4
8638416,competence-bias,envy.target,5
8637436,equal,envy.target,5
8637436,equal,pity.target,6
8623615,competence-bias,pity.target,6
8623615,competence-bias,envy.target,7
8621806,warmth-bias,pity.target,6
8621806,warmth-bias,envy.target,3
8610077,equal,pity.target,6
8610077,equal,envy.target,6
8604439,equal,pity.target,7
8604439,equal,envy.target,5
8603237,warmth-bias,pity.target,7
8603237,warmth-bias,envy.target,4
8584697,competence-bias,envy.target,7
8584697,competence-bias,pity.target,2
8580748,competence-bias,pity.target,4
8580748,competence-bias,envy.target,4
8576082,warmth-bias,pity.target,6
8576082,warmth-bias,envy.target,5
8563613,warmth-bias,pity.target,7
8563613,warmth-bias,envy.target,1
8552023,equal,envy.target,6
8552023,equal,pity.target,5
8549416,competence-bias,envy.target,6
8549416,competence-bias,pity.target,2
8534524,warmth-bias,pity.target,7
8534524,warmth-bias,envy.target,2
8516546,competence-bias,envy.target,6
8516546,competence-bias,pity.target,5
8507010,equal,pity.target,6
8507010,equal,envy.target,6
8488634,competence-bias,pity.target,5
8488634,competence-bias,envy.target,6
8464796,equal,pity.target,5
8464796,equal,envy.target,5
8457342,competence-bias,envy.target,4
8457342,competence-bias,pity.target,6
8439883,competence-bias,pity.target,5
8439883,competence-bias,envy.target,6
8432990,equal,pity.target,4
8432990,equal,envy.target,5
8426181,competence-bias,envy.target,7
8426181,competence-bias,pity.target,5
8416000,warmth-bias,envy.target,6
8416000,warmth-bias,pity.target,7
8407309,warmth-bias,pity.target,7
8407309,warmth-bias,envy.target,5
8397089,competence-bias,envy.target,5
8397089,competence-bias,pity.target,5
8394696,equal,envy.target,5
8394696,equal,pity.target,7
8389313,equal,envy.target,5
8389313,equal,pity.target,6
8385426,warmth-bias,pity.target,7
8385426,warmth-bias,envy.target,2
8378627,equal,pity.target,5
8378627,equal,envy.target,6
8377324,warmth-bias,pity.target,6
8377324,warmth-bias,envy.target,5
8374890,equal,pity.target,7
8374890,equal,envy.target,6
8357362,warmth-bias,envy.target,6
8357362,warmth-bias,pity.target,7
8342593,warmth-bias,pity.target,4
8342593,warmth-bias,envy.target,5
8333064,warmth-bias,envy.target,4
8333064,warmth-bias,pity.target,7
8330152,equal,pity.target,7
8330152,equal,envy.target,5
8330002,warmth-bias,pity.target,7
8330002,warmth-bias,envy.target,6
8325345,equal,pity.target,4
8325345,equal,envy.target,6
8313250,warmth-bias,pity.target,7
8313250,warmth-bias,envy.target,5
8309366,competence-bias,pity.target,5
8309366,competence-bias,envy.target,6
8291998,competence-bias,pity.target,4
8291998,competence-bias,envy.target,4
8273262,competence-bias,pity.target,7
8273262,competence-bias,envy.target,7
8258996,equal,envy.target,4
8258996,equal,pity.target,5
8223344,equal,pity.target,5
8223344,equal,envy.target,6
8205360,equal,pity.target,6
8205360,equal,envy.target,6
8203815,warmth-bias,envy.target,5
8203815,warmth-bias,pity.target,7
8195241,warmth-bias,envy.target,5
8195241,warmth-bias,pity.target,6
8191926,equal,envy.target,6
8191926,equal,pity.target,6
8191257,equal,pity.target,6
8191257,equal,envy.target,6
8164512,competence-bias,envy.target,5
8164512,competence-bias,pity.target,5
8163739,warmth-bias,envy.target,4
8163739,warmth-bias,pity.target,5
8158617,competence-bias,pity.target,5
8158617,competence-bias,envy.target,7
8149264,equal,pity.target,4
8149264,equal,envy.target,6
8140832,warmth-bias,envy.target,4
8140832,warmth-bias,pity.target,7
8120650,competence-bias,envy.target,6
8120650,competence-bias,pity.target,7
8118075,equal,envy.target,6
8118075,equal,pity.target,6
8111438,competence-bias,envy.target,6
8111438,competence-bias,pity.target,3
8095082,warmth-bias,envy.target,5
8095082,warmth-bias,pity.target,4
8086872,competence-bias,pity.target,5
8086872,competence-bias,envy.target,6
8086466,competence-bias,envy.target,7
8086466,competence-bias,pity.target,6
8084114,equal,envy.target,7
8084114,equal,pity.target,1
8082109,competence-bias,pity.target,3
8082109,competence-bias,envy.target,3
8076949,warmth-bias,envy.target,5
8076949,warmth-bias,pity.target,6
8076652,warmth-bias,pity.target,5
8076652,warmth-bias,envy.target,5
8066861,competence-bias,pity.target,7
8066861,competence-bias,envy.target,7
8060965,competence-bias,envy.target,4
8060965,competence-bias,pity.target,5
8053059,equal,envy.target,5
8053059,equal,pity.target,6
8050698,warmth-bias,envy.target,6
8050698,warmth-bias,pity.target,7
8045659,warmth-bias,pity.target,5
8045659,warmth-bias,envy.target,7
8041271,equal,pity.target,5
8041271,equal,envy.target,5
8018089,equal,envy.target,5
8018089,equal,pity.target,6
8010327,warmth-bias,envy.target,5
8010327,warmth-bias,pity.target,5
8009668,competence-bias,envy.target,7
8009668,competence-bias,pity.target,6
8004430,warmth-bias,envy.target,5
8004430,warmth-bias,pity.target,6
7995596,competence-bias,envy.target,7
7995596,competence-bias,pity.target,2
7987894,equal,pity.target,7
7987894,equal,envy.target,3
7987803,equal,envy.target,6
7987803,equal,pity.target,6
7986992,warmth-bias,pity.target,7
7986992,warmth-bias,envy.target,5
7984360,warmth-bias,pity.target,4
7984360,warmth-bias,envy.target,4
7979757,warmth-bias,pity.target,5
7979757,warmth-bias,envy.target,3
7972451,equal,envy.target,7
7972451,equal,pity.target,7
7971929,warmth-bias,pity.target,6
7971929,warmth-bias,envy.target,4
7961186,warmth-bias,envy.target,4
7961186,warmth-bias,pity.target,7
7958459,competence-bias,pity.target,4
7958459,competence-bias,envy.target,6
7955296,warmth-bias,pity.target,5
7955296,warmth-bias,envy.target,4
7954603,warmth-bias,envy.target,5
7954603,warmth-bias,pity.target,6
7945246,competence-bias,pity.target,3
7945246,competence-bias,envy.target,6
7926253,competence-bias,envy.target,5
7926253,competence-bias,pity.target,3
7920395,competence-bias,pity.target,5
7920395,competence-bias,envy.target,7
7915038,warmth-bias,pity.target,5
7915038,warmth-bias,envy.target,5
7912572,equal,envy.target,5
7912572,equal,pity.target,6
7909656,competence-bias,envy.target,6
7909656,competence-bias,pity.target,2
7907912,warmth-bias,envy.target,5
7907912,warmth-bias,pity.target,7
7904599,warmth-bias,envy.target,3
7904599,warmth-bias,pity.target,6
7903190,equal,pity.target,6
7903190,equal,envy.target,3
7897870,equal,pity.target,5
7897870,equal,envy.target,5
7883395,competence-bias,envy.target,7
7883395,competence-bias,pity.target,7
7882953,equal,envy.target,4
7882953,equal,pity.target,4
7882500,equal,pity.target,4
7882500,equal,envy.target,4
7877786,competence-bias,pity.target,4
7877786,competence-bias,envy.target,4
7876442,equal,pity.target,5
7876442,equal,envy.target,4
7875288,equal,envy.target,6
7875288,equal,pity.target,6
7873719,equal,envy.target,5
7873719,equal,pity.target,5
7872769,equal,envy.target,5
7872769,equal,pity.target,7
7857278,warmth-bias,pity.target,5
7857278,warmth-bias,envy.target,4
7853403,warmth-bias,envy.target,5
7853403,warmth-bias,pity.target,7
7844047,competence-bias,envy.target,6
7844047,competence-bias,pity.target,6
7836379,equal,pity.target,6
7836379,equal,envy.target,4
7819419,warmth-bias,pity.target,7
7819419,warmth-bias,envy.target,3
7813763,competence-bias,envy.target,6
7813763,competence-bias,pity.target,6
7798837,competence-bias,envy.target,7
7798837,competence-bias,pity.target,5
7795456,equal,envy.target,4
7795456,equal,pity.target,4
7787499,warmth-bias,envy.target,5
7787499,warmth-bias,pity.target,3
7785538,competence-bias,pity.target,7
7785538,competence-bias,envy.target,7
7777463,equal,envy.target,6
7777463,equal,pity.target,2
7768945,competence-bias,envy.target,5
7768945,competence-bias,pity.target,7
7767432,warmth-bias,envy.target,4
7767432,warmth-bias,pity.target,4
7750027,competence-bias,pity.target,5
7750027,competence-bias,envy.target,7
7745446,competence-bias,envy.target,7
7745446,competence-bias,pity.target,5
7737578,competence-bias,pity.target,5
7737578,competence-bias,envy.target,7
7722402,warmth-bias,envy.target,5
7722402,warmth-bias,pity.target,6
7711855,competence-bias,pity.target,4
7711855,competence-bias,envy.target,6
7711318,equal,envy.target,5
7711318,equal,pity.target,6
7709679,competence-bias,pity.target,3
7709679,competence-bias,envy.target,7
7708013,warmth-bias,pity.target,7
7708013,warmth-bias,envy.target,2
7704380,equal,envy.target,5
7704380,equal,pity.target,5
7668588,equal,envy.target,6
7668588,equal,pity.target,5
7668520,warmth-bias,pity.target,7
7668520,warmth-bias,envy.target,1
7654256,warmth-bias,envy.target,5
7654256,warmth-bias,pity.target,6
7645643,competence-bias,pity.target,5
7645643,competence-bias,envy.target,5
7637781,warmth-bias,pity.target,6
7637781,warmth-bias,envy.target,5
7626257,competence-bias,pity.target,5
7626257,competence-bias,envy.target,6
7595042,warmth-bias,pity.target,6
7595042,warmth-bias,envy.target,5
7586640,equal,envy.target,6
7586640,equal,pity.target,6
7581878,competence-bias,envy.target,7
7581878,competence-bias,pity.target,5
7576951,competence-bias,envy.target,6
7576951,competence-bias,pity.target,3
7555333,equal,pity.target,4
7555333,equal,envy.target,6
7553783,competence-bias,envy.target,7
7553783,competence-bias,pity.target,3
7545687,competence-bias,envy.target,6
7545687,competence-bias,pity.target,5
7533457,warmth-bias,envy.target,5
7533457,warmth-bias,pity.target,5
7494526,competence-bias,envy.target,7
7494526,competence-bias,pity.target,2
7492246,competence-bias,envy.target,6
7492246,competence-bias,pity.target,5
7477225,warmth-bias,pity.target,4
7477225,warmth-bias,envy.target,6
